acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-651,3330,1531,-2480,4449,-3977
-767,3358,1687,-2461,4373,-4003
-571,3026,1699,-2127,4174,-4184
593,3966,1875,-1244,2912,-4881
717,4126,1887,-1285,2790,-4802
613,4362,2019,-1342,2738,-4663
749,4750,1763,-1584,2618,-3716
1101,4662,1883,-1656,2779,-3454
1377,4998,2543,-2009,2703,-2490
1077,5206,2667,-2026,2485,-2078
-207,5042,3199,-2403,2233,-851
-515,4806,3095,-2618,2408,-653
-1059,4122,3407,-3329,3696,-830
-1135,4274,3507,-3588,3904,-1059
-1503,5274,3931,-3518,3656,-1786
-1747,5486,4063,-3429,3395,-1995
-2743,5818,3931,-3519,2623,-3033
-2931,5902,3967,-3530,2391,-3484
-2791,6298,4063,-3565,1750,-5216
-2839,6406,4247,-3570,1361,-5915
-2619,7366,4051,-3618,-80,-8725
-2247,8174,4683,-3919,-715,-9553
-1207,9682,6115,-5453,-4039,-11003
-1115,9906,6271,-5724,-5619,-11009
-1947,10166,5891,-5884,-9670,-10219
-1875,10346,5591,-5898,-10318,-9698
-1611,9910,4587,-5799,-10219,-7829
-1747,9670,4411,-5665,-9557,-7452
-2479,9126,4839,-5471,-7631,-7177
-2683,8946,4943,-5417,-6992,-7347
-2799,8978,5275,-5359,-5623,-8011
-2887,9238,6003,-5316,-5011,-8716
-2307,10554,7011,-4339,-6479,-8888
-2387,10758,6967,-3712,-7275,-8664
-3187,10578,6163,-2367,-8121,-8004
-3603,9606,5287,-2118,-7030,-7736
-3299,8582,4843,-2464,-3352,-8342
-3371,8838,5103,-2397,-2485,-8510
-4119,9202,6287,-1938,-2063,-8557
-4819,9106,6123,-1224,-2887,-8245
-4711,8790,5499,-255,-3595,-7513
-4451,8542,5147,10,-3715,-7284
-3995,8714,4483,704,-3442,-6486
-3967,9002,4179,1579,-2821,-5285
-3919,9270,3615,2292,-1085,-2710
-4047,8834,3807,2463,-481,-1842
-3959,7862,3999,2997,251,-211
-3907,7786,4255,3533,726,879
-1971,9438,3879,3978,844,2400
-947,10654,3691,3912,1007,3110
-171,13074,3811,3936,1044,5709
-1107,13410,3651,3798,1000,9074
-855,11666,3075,3141,2684,11962
-311,11526,2995,3081,3132,12151
421,12482,3219,3269,3376,11693
797,14162,2807,3184,2778,10897
2353,14922,1235,2203,3787,8650
2389,14838,1011,1960,4339,8174
1745,13910,1427,1099,5448,7233
1797,13342,1903,116,5634,6532
-459,12246,3243,-778,4614,6403
-1427,11490,3527,-1203,4247,6311
-2603,10126,3747,-2349,3907,5787
-2727,9966,4135,-3177,3011,5387
-4407,9642,4439,-3068,1641,5041
-5215,9366,4215,-3177,1417,4969
-5895,8726,3447,-3543,1921,4933
-6059,7974,3499,-4135,2915,4771
-6647,7758,4263,-3489,3222,5085
-6855,7634,4159,-3216,2865,5350
-7355,7314,3575,-2389,2717,5807
-7675,6722,2751,-2160,3651,5539
-7751,6506,2895,-3120,6130,3559
-7643,6814,3375,-3664,6617,2603
-7079,7910,4475,-4616,6317,786
-6411,8850,5067,-4802,4048,63
-6019,9570,4951,-3941,1664,542
-5475,9782,5079,-3743,1117,854
-4783,9642,4959,-3535,611,1156
-3643,9634,4763,-3496,1050,445
-19,12358,5943,-3948,289,-2114
437,12774,6687,-3357,-1132,-2420
-795,11794,7647,-1734,-3992,-2787
13,11646,6939,-2455,-5027,-6805
4397,14802,5843,-1470,-8121,-12467
2813,14610,6223,-102,-9038,-12205
-2351,12814,6907,1391,-8796,-10965
-4223,10978,6163,808,-6672,-10248
-4095,7110,5835,184,-2512,-12538
-3475,7062,6123,259,-2395,-13371
-2907,8618,6007,1895,-3311,-14461
-3999,10474,6287,4138,-4461,-14505
-4863,11718,6431,2273,-3584,-12649
-4771,10906,6239,1097,-2832,-12041
-3863,9566,6399,-665,-1967,-11060
-3491,9322,7395,-653,-3193,-9741
-5091,9270,6635,1122,-5987,-7676
-5211,8950,5799,1449,-6083,-7338
-4407,8102,3407,1640,-2553,-7587
-3999,8310,3199,1706,-1004,-7802
-3863,9998,4975,2344,1865,-7243
-3775,10558,5539,2716,1745,-6519
-2995,11762,5391,4002,625,-3576
-2739,11874,4991,4073,846,-2605
-2187,12474,4723,3517,1681,658
-1723,12734,4775,3096,2001,1803
-63,15102,3803,2706,2751,5168
-191,15446,3795,2675,2869,6030
189,13414,3495,1431,3201,6438
1001,12970,3011,1242,3381,5721
2489,14430,2587,738,3726,3649
3201,16826,2027,-22,3671,2232
4265,19250,1247,459,3277,3584
3581,19378,1215,749,3287,4927
1145,17322,1639,280,3604,7559
-447,14678,1595,-199,4101,9060
-2503,11746,2547,-321,3800,10076
-3195,11194,2895,-422,3561,10328
-4971,10466,3407,-46,2802,10634
-6147,10162,2923,350,2536,11309
-6555,8346,2983,-1208,5022,11644
-6723,7534,3071,-1547,5779,11366
-6763,7050,3383,-1792,6551,10666
-7051,7426,3791,-2086,6705,10088
-7543,7874,4107,-2112,5816,9643
-7543,8166,3887,-2151,5526,9661
-7107,8162,3315,-3475,6018,7546
-7087,8250,3259,-3553,6010,7266
-6795,8814,3579,-3788,5857,6337
-6943,9738,4051,-3567,4449,5726
-7199,9310,4251,-3424,4233,5820
-7391,7142,4287,-3010,5433,4651
-7187,6882,4675,-2875,5841,3971
-6199,8034,5859,-2932,7048,941
-5471,8786,6183,-2850,7125,-417
-2595,11810,8467,-2055,3883,-4137
-1843,12194,9019,-1618,2280,-4804
-3583,11174,10939,-162,-4051,-7006
-3251,11738,10027,-191,-5971,-8804
-1519,14498,7675,703,-9282,-14360
-2219,14334,8011,1400,-10096,-14847
-4351,13894,7179,2320,-10042,-14939
-4715,14006,6427,2125,-7715,-15003
-2947,14202,6267,1925,-5786,-14891
-3023,14390,6235,2165,-5872,-14502
-3903,14262,5687,3003,-6661,-13232
-4487,13826,4695,3898,-5946,-11855
-5375,11922,5759,2555,-1979,-10649
-5619,11266,6219,2037,-1571,-10375
-6143,9470,7899,1854,-2882,-9919
-6091,9338,7971,2179,-3754,-9728
-6059,9562,8075,2765,-6148,-8332
-6011,9398,7891,2463,-6530,-7754
-5051,8474,6255,1164,-5167,-7098
-4467,8538,5975,972,-4382,-7160
-3663,9902,6583,1487,-3357,-6106
-3583,10354,6491,1766,-3352,-5347
-3091,10934,5267,2033,-1959,-2508
-2731,10934,4807,1822,-1038,-1700
-1255,11674,4243,1495,1949,466
-967,12718,4607,1512,2447,1328
-75,15722,4331,1897,2711,4254
93,15806,4327,1992,2664,5084
441,14334,2671,2065,3311,4811
993,14402,2267,2127,3907,3771
2097,17410,2111,1988,4841,440
1933,18802,2335,1751,4794,113
1541,19830,2599,902,3278,2769
677,18674,2851,748,2819,4069
-1127,15658,2823,384,2272,5982
-1619,13962,2315,-53,2267,6783
-2623,13418,3371,-1620,2069,7887
-3447,12842,3695,-2027,1619,8423
-5159,11822,3975,-2324,516,9686
-6035,10370,3931,-2441,378,10988
-7411,7726,3995,-2552,1186,11389
-7603,7206,3919,-2628,1515,11243
-7795,6726,3667,-2765,2336,10791
-8055,6562,3155,-2597,3719,10029
-8463,7122,3103,-2529,6026,9232
-8331,7322,3315,-2601,6579,9104
-8487,7846,3823,-2992,7891,8502
-8483,8194,3975,-3274,8130,8192
-7503,9302,4051,-4097,8395,6910
-7343,9822,4019,-3775,8503,6590
-6311,12030,5691,-2606,9209,7424
-6587,11902,6415,-3008,9715,7311
-5091,13374,8251,-5778,9837,3194
-4707,13502,8867,-5588,7577,1708
-5267,13794,10203,-3306,-1079,-4107
-5131,14782,10111,-2195,-3830,-7101
-3147,18290,8659,2349,-11681,-13772
-4275,17054,7787,4092,-12962,-14309
-6555,16638,6871,4693,-10276,-14745
-6095,16598,6611,4030,-9180,-14260
-4459,15106,6159,4253,-7713,-13156
-5047,14922,5819,4720,-7473,-12885
-6399,14086,4211,4567,-4359,-12072
-6487,13506,4599,4063,-2896,-12116
-6443,12754,6647,2638,-900,-12068
-6455,12082,7991,2339,-2785,-11030
-7811,10554,7747,3079,-6096,-10119
-7863,10530,6811,3284,-6396,-10052
-6999,10286,5371,2577,-4380,-9773
-6595,10282,5731,2439,-3576,-9519
-6991,10354,7127,2341,-3199,-8418
-6923,10486,6667,2398,-3196,-8466
-4815,11910,5379,2760,-1980,-9128
-4471,12394,5175,2828,-1230,-9035
-3931,13818,6715,2782,-938,-6386
-4519,13566,7055,2805,-1283,-5130
-4503,12162,5375,1760,-1096,-1246
-4131,11886,4699,1499,-318,-644
-2735,12994,3983,1862,1904,697
-2367,13494,3883,2127,2392,1241
-2147,14794,4055,2283,3181,2389
-1487,14806,3563,1912,3463,2300
337,15666,2031,1176,4985,-1199
1125,16970,1875,1070,5495,-2285
1805,20966,2431,255,5421,-1356
945,20994,2659,135,5160,63
-1055,18706,3435,-1569,5666,3914
-1475,17362,4355,-2037,5498,4800
-2899,14922,4979,-2463,3753,5847
-3631,13942,4719,-2341,1640,6610
-4727,14138,3799,-1942,318,8001
-5155,14002,3643,-2098,682,8642
-6443,12438,3979,-3765,2544,10330
-6587,11870,4159,-4228,3111,10585
-7367,10498,4479,-4673,3369,10505
-7331,10374,4491,-4530,3170,10390
-7643,10618,3611,-4071,3677,10296
-7811,10674,3835,-4190,4118,10462
-8363,10502,4603,-5584,5917,11522
-8395,10354,4947,-6131,6216,11675
-8283,10186,5179,-6775,5166,11482
-8307,10306,4999,-6562,4553,11225
-8855,10570,3859,-5653,4228,10772
-8859,10442,3747,-5421,4562,10748
-8591,9718,4919,-5449,6701,9854
-8667,9726,5471,-5300,7121,9279
-8687,11774,6491,-4595,6475,6188
-8007,12674,6583,-4301,5497,4599
-5623,14238,9571,-3030,1530,-2282
-5691,14982,11199,-2188,-1127,-3912
-6511,16922,12159,-871,-7644,-6996
-4527,17870,10155,686,-13789,-9130
-5451,15406,6271,3568,-13625,-9456
-6127,14450,5615,3651,-11401,-9633
-5443,15382,6215,2158,-2867,-11997
-5447,15362,6415,2226,-2792,-12097
-5411,15486,6891,2728,-3276,-12278
-6187,15110,5923,4859,-4948,-12166
-6455,14742,5779,5083,-4722,-12099
-7655,12714,6511,4076,-3274,-11999
-7935,11874,6715,3544,-3186,-12003
-7555,10790,6779,3059,-3605,-12164
-7291,10714,7195,3290,-4678,-12207
-7027,11074,6071,4628,-5627,-12019
-6823,11142,5615,4728,-5081,-11919
-6263,10586,5511,4351,-3375,-11695
-6027,10558,6639,4039,-2036,-11458
-5791,10646,8367,3253,-2951,-9515
-5587,10670,8099,3182,-3598,-8609
-5095,10882,7315,2974,-4123,-6807
-4251,11342,6207,3002,-3529,-5230
-3587,12710,5371,2558,-1291,-2499
-3347,13182,5055,2405,-326,-1520
-3167,15122,3971,2051,2698,696
-2847,15806,3919,2048,3589,1114
-1803,18482,4667,1387,4777,1562
-1479,19034,4151,1235,4717,1209
845,21450,3395,696,3952,-892
825,22330,2967,376,3842,-1004
-547,21278,2179,-131,4532,1348
-1263,20794,2783,-729,5053,2404
-1655,18726,3987,-1455,5930,4420
-1907,16842,4307,-1200,5063,6364
-4015,14730,4559,-1344,5081,8195
-5435,13294,3243,-1316,5441,8314
-5935,12794,4475,-1464,4286,10303
-6275,12262,4507,-1266,4424,10367
-7191,12038,4631,-1729,4533,11178
-7463,11838,4403,-2027,4664,11227
-8091,10914,3727,-2883,5636,10604
-8075,10778,3611,-3127,6058,10203
-7543,11350,4579,-3807,6384,9483
-7763,11450,4855,-3878,5986,9663
-8727,11150,5363,-4535,3967,10823
-8975,10742,5047,-4757,3583,11060
-9051,9670,4147,-5542,3054,10558
-8659,9558,3887,-5737,3403,9895
-8235,9886,5119,-6496,3983,8150
-8167,10166,5839,-6657,3303,7977
-8511,9822,5667,-6165,517,7118
-8603,9738,5663,-5742,81,6671
-8703,9742,5247,-4799,964,5268
-8831,9642,5435,-4959,1586,4663
-8095,11222,5743,-5390,3274,279
-7355,12786,6019,-4736,2943,-1881
-5995,15214,7411,-2712,844,-4162
-8207,14482,9631,254,-4130,-4608
-8467,14790,9035,635,-4865,-6169
-4403,18182,7339,1862,-7231,-14820
-3363,18182,6891,2723,-8238,-16230
-4451,18018,7863,5549,-10447,-15557
-5139,17842,8271,5815,-10720,-13842
-5991,14190,6019,4296,-7302,-9985
-5931,13026,5055,3978,-5356,-9719
-5215,11714,4843,3188,-1043,-10927
-5179,11738,5443,3092,-913,-11276
-5803,12110,7703,2819,-3915,-10918
-5807,12178,8243,2402,-5009,-10419
-6215,10846,8287,1082,-9071,-7979
-6183,10446,7639,807,-9769,-7565
-5675,9574,6031,357,-9856,-7823
-5431,9646,5775,243,-9366,-8098
-4659,11370,6383,28,-8569,-7493
-4659,11734,6515,179,-8606,-6604
-4927,11650,5499,575,-7779,-4156
-4659,11434,5203,634,-6931,-3844
-2471,12206,4363,675,-3548,-3497
-1587,13482,4515,616,-2459,-3252
-279,17982,6799,-133,-2003,950
-731,18030,6995,-388,-2744,2882
-467,16894,5699,-1272,-2878,5702
81,16842,5367,-1485,-2703,5992
1217,17294,3055,-1260,-1624,4096
2033,18318,2891,-1243,-792,3211
1801,21746,3127,-1488,1115,3721
1129,21742,3279,-1637,1415,5061
-1507,18390,3663,-1986,2153,9137
-1811,17078,3715,-1952,2323,9877
-2791,15138,3815,-740,1954,11298
-3391,14462,3747,-590,2182,11671
-5679,12854,4359,-1218,3377,12992
-6007,12126,4203,-1955,4081,13267
-5587,10446,4659,-3109,5365,13400
-5583,9542,4555,-2993,5658,12908
-6399,9702,4731,-3178,5841,11802
-6467,9518,4735,-3502,6134,11360
-6135,9802,4887,-4021,6286,10608
-6059,10234,4971,-4111,6607,9962
-6135,11434,5091,-4126,5658,9089
-5927,11622,4987,-4216,5442,8727
-5467,11646,4671,-4219,5354,7710
-5563,11850,4915,-4050,5296,6598
-5719,12526,5835,-4358,5050,4598
-6099,12618,6255,-4693,4961,3953
-6419,12474,7203,-5281,4434,2697
-6471,12322,7779,-5754,2834,1134
-5467,13514,7911,-5736,-967,-2270
-5307,13918,7839,-5625,-2212,-3314
-5359,14486,7359,-5078,-4470,-5200
-5819,14234,7715,-4171,-6493,-5577
-6635,12330,7379,-3168,-7153,-4425
-6495,11970,7211,-2911,-6656,-4099
-6479,11454,6819,-2082,-3577,-3006
-6739,11246,6891,-2074,-2464,-2887
-7971,10422,8835,-2358,-1144,-3705
-7863,10026,9431,-2427,-1756,-4201
-7103,9994,9159,-1662,-5170,-6191
-6999,10398,8691,-1228,-6045,-6762
-7007,11126,7915,-910,-6636,-7949
-6819,11198,7967,-1211,-6612,-8161
-5671,10790,7675,-891,-7450,-8089
-5715,10634,7311,-424,-7547,-8152
-5995,10966,6195,610,-6873,-8620
-5971,11058,6227,444,-5763,-8887
-5083,11458,7683,-784,-4350,-9340
-4747,11778,8235,-891,-4704,-9293
-4387,12466,9223,-776,-9508,-7181
-4423,12494,8983,-756,-9749,-6967
-4063,12326,8211,-976,-10178,-6380
-3075,11194,6879,-1470,-9063,-5563
-2931,10950,6791,-1425,-8481,-5468
-2451,11190,7731,-1120,-7035,-4973
-2179,11530,7943,-1189,-6857,-4709
-1095,12434,8527,-1676,-6820,-3674
-863,12726,8631,-1770,-7039,-3233
-831,13538,8907,-1964,-8205,-1399
-975,13382,8603,-2037,-8579,-963
-371,13726,7743,-2294,-8780,-982
825,15518,7051,-2990,-8097,-1114
-203,17390,7071,-4207,-7615,2585
-1567,16558,7275,-4318,-7593,4319
-3495,13818,7051,-4437,-6833,7351
-4091,11570,6499,-4520,-4652,8806
-4407,10390,5907,-4628,-612,7972
-4331,11006,6175,-4871,506,7299
-3911,12890,7043,-5870,1334,6324
-4111,13966,7635,-6750,328,6078
-3495,15126,6751,-7645,-2740,7205
-3131,15146,6227,-7745,-3261,7647
-3063,14950,5579,-7936,-3215,8688
-4019,13974,5127,-8329,-2624,9588
-4815,11506,5859,-8799,-1407,10206
-5075,10774,6047,-8757,-1087,9999
-5511,9854,6439,-8453,-910,9017
-5559,9762,6575,-8235,-1118,7842
-5723,9638,6915,-7941,-1135,6346
-5659,9390,6711,-7908,-1241,5994
-5967,9166,6679,-7659,-643,4731
-5871,8974,6595,-7509,-684,4424
-6039,8006,6367,-6913,-283,2673
-5959,8106,6295,-6702,-99,1961
-5775,8494,6163,-6394,224,448
-5987,8970,6307,-6235,697,-1195
-5827,10514,6403,-6146,1205,-3427
-5975,10782,6931,-6144,1144,-3866
-6459,11038,7007,-6223,481,-5229
-5843,12478,6891,-6311,-513,-7984
-4315,15266,7599,-5322,-4956,-11398
-4107,15882,7919,-4590,-6858,-11498
-6423,14538,7419,-2413,-11233,-8599
-7179,13426,6763,-2275,-11508,-7485
-8151,9430,4015,-2238,-7991,-6811
-7891,8754,3703,-2056,-6323,-7608
-7047,9690,5375,-1655,-2391,-10865
-7027,10518,6611,-1496,-2690,-11413
-6979,12734,8235,-1413,-6077,-11979
-6719,13110,8379,-1406,-7443,-11892
-5239,13510,6827,-1176,-10819,-11672
-4923,13646,6891,-1105,-11394,-11432
-4511,13838,7003,-1134,-11973,-10413
-4911,13214,6867,-1361,-11996,-9140
-4487,12238,6315,-1923,-10458,-7855
-4335,11850,6287,-1975,-9950,-7730
-4355,11774,6871,-1915,-9143,-7512
-4123,12102,8135,-1997,-9159,-7169
-3851,12626,8615,-2174,-10752,-5732
-3591,12730,8499,-2212,-11083,-5151
-3139,13142,7487,-2121,-11205,-3321
-3059,12902,7287,-2024,-10910,-2745
-3043,12562,6851,-1532,-9473,-1114
-3047,12642,7171,-1566,-8823,-715
-2883,13870,7751,-2030,-7872,715
-2747,14182,7867,-2087,-7928,1247
-3483,14006,8191,-1995,-8396,2613
-3343,13854,7903,-2264,-8140,2349
-971,16506,6723,-3463,-6561,348
-211,18498,7055,-4016,-6289,722
-1367,20634,7963,-5274,-7019,4156
-4523,18322,7763,-5875,-7978,8498
-6171,13870,5083,-6206,-5246,10552
-5983,13154,4867,-6273,-3643,10216
-5423,12798,4703,-6297,-594,9024
-5703,13098,6263,-6886,996,8580
-6431,13458,7751,-8628,1171,8339
-6495,13850,7951,-9300,685,8266
-5459,14442,8015,-10572,-929,8264
-4659,14874,8291,-11337,-3679,8619
-5267,14162,7551,-11117,-8029,10066
-5899,13790,6759,-10947,-8662,10438
-6251,12478,5031,-10882,-8088,10717
-6355,10818,4023,-10796,-5866,9992
-6855,9406,5179,-10275,-3091,7765
-6931,9242,5635,-10038,-2897,7106
-7147,8938,6407,-8280,-3652,5419
-7263,8878,6419,-7688,-3985,4945
-7207,8442,5347,-6456,-3572,3368
-6851,8174,4899,-6414,-2841,2625
-6299,8982,5307,-6374,-127,-24
-6159,9730,5883,-6461,129,-743
-5895,11662,6983,-6507,-1296,-2013
-5931,11934,7019,-6264,-2081,-2060
-6631,11242,6347,-6397,-3255,-3825
-6487,11418,6055,-6774,-3350,-5314
-4667,13294,6071,-6600,-5121,-10910
-3895,14418,6619,-6043,-6332,-11992
-5255,15938,7759,-3484,-11142,-11094
-6027,15434,7619,-3127,-11898,-10115
-6659,13618,5971,-3156,-11395,-8915
-6095,12034,4875,-2885,-9529,-8479
-6063,11542,5171,-3061,-6461,-9070
-6271,11506,5487,-3253,-5907,-9305
-6019,12010,5943,-3633,-5585,-9415
-5251,12398,6547,-4210,-5884,-8915
-4555,11978,7031,-3746,-8457,-7936
-4431,11774,6883,-3335,-9402,-7764
-3955,11506,6431,-2719,-10541,-7294
-3631,11178,6223,-2423,-10624,-6502
-3663,10666,5839,-2653,-8221,-4963
-3439,10470,5639,-2762,-7216,-4701
-2579,10578,6811,-2635,-5104,-4066
-2591,10766,7443,-2499,-4964,-3662
-3047,10862,8127,-1914,-6020,-1883
-2955,10682,8007,-1731,-6359,-1318
-2535,10606,6791,-1115,-6022,-113
-2351,10870,6403,-851,-5621,125
-2403,11822,6687,-55,-3978,584
-2531,12146,6647,-230,-2343,517
-2583,12222,6467,-196,-2291,201
-2535,12266,6259,-160,-2210,-229
1837,17250,5775,464,-1282,-2626
1849,19130,6343,557,-1557,-1931
-1507,18950,6591,-19,-2238,5021
-2979,16770,6019,-564,-1787,6982
-4611,10986,4223,-1266,2917,8320
-4507,10154,3899,-1123,4152,7553
